2026-02-09 14:08:37,165 | INFO | Logging to file: backtest.log
2026-02-09 14:08:37,165 | INFO | Generating data for 3 symbols (5000 bars each)...
2026-02-09 14:08:37,232 | INFO | Data generation took 0.0662s
2026-02-09 14:08:37,232 | INFO | Running multi-symbol backtest...
2026-02-09 14:08:37,365 | INFO | Running backtest via run_backtest()...
2026-02-09 14:08:37,367 | INFO | Auto-inferred warmup period: 20
2026-02-09 14:08:37,370 | INFO | [1990-03-23 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.01, SMA20: 99.01 | Pos: 0.0
2026-02-09 14:08:37,370 | INFO | [1990-03-23 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.01, SMA20: 99.01 | Pos: 0.0
2026-02-09 14:08:37,370 | INFO | [1990-03-30 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 98.92, SMA20: 98.94 | Pos: 100.0
2026-02-09 14:08:37,370 | INFO | [1990-03-30 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 98.92, SMA20: 98.94 | Pos: 100.0
2026-02-09 14:08:37,370 | INFO | [1990-04-05 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.01, SMA20: 98.96 | Pos: 0.0
2026-02-09 14:08:37,371 | INFO | [1990-04-05 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.01, SMA20: 98.96 | Pos: 0.0
2026-02-09 14:08:37,371 | INFO | [1990-04-24 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.09, SMA20: 99.09 | Pos: 100.0
2026-02-09 14:08:37,371 | INFO | [1990-04-24 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.09, SMA20: 99.09 | Pos: 100.0
2026-02-09 14:08:37,371 | INFO | [1990-05-09 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.13, SMA20: 99.13 | Pos: 0.0
2026-02-09 14:08:37,371 | INFO | [1990-05-09 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.13, SMA20: 99.13 | Pos: 0.0
2026-02-09 14:08:37,372 | INFO | [1990-05-14 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.10, SMA20: 99.10 | Pos: 100.0
2026-02-09 14:08:37,372 | INFO | [1990-05-14 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.10, SMA20: 99.10 | Pos: 100.0
2026-02-09 14:08:37,372 | INFO | [1990-06-11 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 98.87, SMA20: 98.85 | Pos: 0.0
2026-02-09 14:08:37,372 | INFO | [1990-06-11 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 98.87, SMA20: 98.85 | Pos: 0.0
2026-02-09 14:08:37,373 | INFO | [1990-07-04 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.02, SMA20: 99.06 | Pos: 100.0
2026-02-09 14:08:37,373 | INFO | [1990-07-04 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.02, SMA20: 99.06 | Pos: 100.0
2026-02-09 14:08:37,374 | INFO | [1990-08-08 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 98.85, SMA20: 98.84 | Pos: 0.0
2026-02-09 14:08:37,374 | INFO | [1990-08-08 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 98.85, SMA20: 98.84 | Pos: 0.0
2026-02-09 14:08:37,375 | INFO | [1990-09-26 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.42, SMA20: 99.43 | Pos: 100.0
2026-02-09 14:08:37,375 | INFO | [1990-09-26 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.42, SMA20: 99.43 | Pos: 100.0
2026-02-09 14:08:37,376 | INFO | [1990-10-16 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.36, SMA20: 99.35 | Pos: 0.0
2026-02-09 14:08:37,376 | INFO | [1990-10-16 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.36, SMA20: 99.35 | Pos: 0.0
2026-02-09 14:08:37,377 | INFO | [1990-11-14 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.99, SMA20: 100.01 | Pos: 100.0
2026-02-09 14:08:37,377 | INFO | [1990-11-14 15:00:00] STOCK_A Signal: SELL_CLOSE | SMA5: 99.99, SMA20: 100.01 | Pos: 100.0
2026-02-09 14:08:37,378 | INFO | [1990-12-19 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.93, SMA20: 99.91 | Pos: 0.0
2026-02-09 14:08:37,378 | INFO | [1990-12-19 15:00:00] STOCK_A Signal: BUY_OPEN | SMA5: 99.93, SMA20: 99.91 | Pos: 0.0
2026-02-09 14:08:37,551 | INFO | Engine execution took 0.3195s
